date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2011-07-22,28,0b96b5f1c3abb2af4469bf16d669e100bc6936e7,e926bf1fe01e02399240490832b9c892f1ea2e0f,"[]","[]","[]","[]","[]",0,0,0,0,0,11,23,=J29+K29+L29+M29+N29,=O29+P29,=((Q29/(R29+R28)))*100,,0,,"[]"
2011-07-22,29,15f5375d76dc1305487094857b11bfa7a9cf3b8d,0b96b5f1c3abb2af4469bf16d669e100bc6936e7,"[]","[]","[]","[]","[]",0,0,0,0,0,11,23,=J30+K30+L30+M30+N30,=O30+P30,=((Q30/(R30+R29)))*100,,1,,"[]"
2011-07-22,30,03cc33c75512485dc13319dbf2150c3b0e733ad8,15f5375d76dc1305487094857b11bfa7a9cf3b8d,"[]","[]","[]","[]","[]",0,0,0,0,0,11,23,=J31+K31+L31+M31+N31,=O31+P31,=((Q31/(R31+R30)))*100,,2,,"[]"
2011-07-22,31,9f2d744a24a4bc26742f81d81af082a408e91140,03cc33c75512485dc13319dbf2150c3b0e733ad8,"[]","[]","[]","[]","[]",0,0,0,0,0,11,23,=J32+K32+L32+M32+N32,=O32+P32,=((Q32/(R32+R31)))*100,,0,,"[]"
2011-07-22,32,42875119ddb859daf7a12bad7a0c0c31f4099eab,9f2d744a24a4bc26742f81d81af082a408e91140,"[com.cloudera.sqoop.hive,com.cloudera.sqoop.io,com.cloudera.sqoop.manager,com.cloudera.sqoop,com.cloudera.sqoop.orm,com.cloudera.sqoop.lib,com.cloudera.sqoop.shims,com.cloudera.sqoop.util,com.cloudera.sqoop.cli,com.cloudera.sqoop.tool,com.cloudera.sqoop.mapreduce]","[org.apache.hadoop.sqoop.util,org.apache.hadoop.sqoop.hive,org.apache.hadoop.sqoop.lib,org.apache.hadoop.sqoop.manager,org.apache.hadoop.sqoop.mapreduce,org.apache.hadoop.sqoop,org.apache.hadoop.sqoop.tool,org.apache.hadoop.sqoop.orm,org.apache.hadoop.sqoop.shims,org.apache.hadoop.sqoop.cli,org.apache.hadoop.sqoop.io]","[]","[]","[com.cloudera.sqoop.util.PerfCounters,com.cloudera.sqoop.manager.GenericJdbcManager,com.cloudera.sqoop.mapreduce.TextExportMapper,com.cloudera.sqoop.lib.LobRef$1,com.cloudera.sqoop.io.LobFile$V0Writer,com.cloudera.sqoop.mapreduce.ImportJobBase,com.cloudera.sqoop.manager.HsqldbManager,com.cloudera.sqoop.util.ResultSetPrinter,com.cloudera.sqoop.lib.LobRef,com.cloudera.sqoop.mapreduce.JdbcExportJob,com.cloudera.sqoop.io.LobFile$Reader,com.cloudera.sqoop.manager.ImportJobContext,com.cloudera.sqoop.hive.HiveImport,com.cloudera.sqoop.lib.LobSerializer,com.cloudera.sqoop.io.LobFile$V0Reader,com.cloudera.sqoop.mapreduce.JobBase,com.cloudera.sqoop.manager.ManagerFactory,com.cloudera.sqoop.lib.RecordParser$ParseState,com.cloudera.sqoop.io.LobFile,com.cloudera.sqoop.manager.MySQLManager,com.cloudera.sqoop.lib.RecordParser$ParseError,com.cloudera.sqoop.io.LobReaderCache,com.cloudera.sqoop.hive.TableDefWriter,com.cloudera.sqoop.tool.ExportTool,com.cloudera.sqoop.manager.MySQLUtils,com.cloudera.sqoop.lib.RecordParser,com.cloudera.sqoop.io.SplittableBufferedWriter,com.cloudera.sqoop.manager.OracleManager$ConnCache$CacheKey,com.cloudera.sqoop.io.CodecMap,com.cloudera.sqoop.tool.HelpTool,com.cloudera.sqoop.tool.ImportAllTablesTool,com.cloudera.sqoop.lib.TaskId,com.cloudera.sqoop.io.SplittingOutputStream,com.cloudera.sqoop.manager.ConnManager,com.cloudera.sqoop.mapreduce.TextImportMapper,com.cloudera.sqoop.tool.ImportTool,com.cloudera.sqoop.io.UnsupportedCodecException,com.cloudera.sqoop.io.FixedLengthInputStream,com.cloudera.sqoop.ConnFactory,com.cloudera.sqoop.lib.BigDecimalSerializer,com.cloudera.sqoop.io.LobFile$LobFileHeader,com.cloudera.sqoop.tool.ListDatabasesTool,com.cloudera.sqoop.orm.ClassWriter,com.cloudera.sqoop.io.LobFile$RecordStartMark,com.cloudera.sqoop.Sqoop,com.cloudera.sqoop.mapreduce.MySQLDumpImportJob,com.cloudera.sqoop.tool.ListTablesTool,com.cloudera.sqoop.orm.CompilationManager,com.cloudera.sqoop.mapreduce.MySQLDumpMapper$CopyingAsyncSink$CopyingStreamThread,com.cloudera.sqoop.lib.BlobRef,com.cloudera.sqoop.SqoopOptions$InvalidOptionsException,com.cloudera.sqoop.io.LobFile$MetaBlock,com.cloudera.sqoop.tool.SqoopTool,com.cloudera.sqoop.util.ErrorableThread,com.cloudera.sqoop.orm.TableClassName,com.cloudera.sqoop.mapreduce.MySQLDumpMapper$CopyingAsyncSink,com.cloudera.sqoop.tool.VersionTool,com.cloudera.sqoop.io.LobFile$IndexSegment,com.cloudera.sqoop.SqoopOptions$FileLayout,com.cloudera.sqoop.util.Executor,com.cloudera.sqoop.shims.HadoopShim,com.cloudera.sqoop.SqoopOptions,com.cloudera.sqoop.mapreduce.MySQLDumpMapper$ReparsingAsyncSink$ReparsingStreamThread,com.cloudera.sqoop.util.AsyncSink,com.cloudera.sqoop.manager.OracleManager$ConnCache,com.cloudera.sqoop.io.LobFile$IndexTableEntry,com.cloudera.sqoop.util.ExportException,com.cloudera.sqoop.cli.RelatedOptions,com.cloudera.sqoop.lib.SqoopRecord,com.cloudera.sqoop.io.LobFile$IndexTable,com.cloudera.sqoop.mapreduce.MySQLDumpMapper$ReparsingAsyncSink,com.cloudera.sqoop.util.FileListing,com.cloudera.sqoop.shims.ShimLoader,com.cloudera.sqoop.manager.OracleManager,com.cloudera.sqoop.util.ImportException,com.cloudera.sqoop.util.ClassLoaderStack,com.cloudera.sqoop.mapreduce.MySQLDumpMapper,com.cloudera.sqoop.tool.BaseSqoopTool,com.cloudera.sqoop.manager.PostgresqlManager,com.cloudera.sqoop.manager.DefaultManagerFactory,com.cloudera.sqoop.util.DirectImportUtils,com.cloudera.sqoop.mapreduce.MySQLExportJob,com.cloudera.sqoop.cli.SqoopParser,com.cloudera.sqoop.cli.ToolOptions,com.cloudera.sqoop.util.JdbcUrl,com.cloudera.sqoop.manager.DirectMySQLManager,com.cloudera.sqoop.manager.SqlManager,com.cloudera.sqoop.util.ErrorableAsyncSink,com.cloudera.sqoop.mapreduce.MySQLExportMapper,com.cloudera.sqoop.tool.CodeGenTool,com.cloudera.sqoop.manager.DirectPostgresqlManager$PostgresqlAsyncSink$PostgresqlStreamThread,com.cloudera.sqoop.mapreduce.AutoProgressMapper$ProgressThread,com.cloudera.sqoop.util.LoggingAsyncSink$LoggingThread,com.cloudera.sqoop.lib.ClobRef,com.cloudera.sqoop.tool.CreateHiveTableTool,com.cloudera.sqoop.mapreduce.MySQLRecordExportMapper,com.cloudera.sqoop.manager.DirectPostgresqlManager$PostgresqlAsyncSink,com.cloudera.sqoop.lib.FieldFormatter,com.cloudera.sqoop.util.LoggingAsyncSink,com.cloudera.sqoop.mapreduce.MySQLTextExportMapper,com.cloudera.sqoop.util.NullAsyncSink$IgnoringThread,com.cloudera.sqoop.tool.EvalSqlTool,com.cloudera.sqoop.mapreduce.AutoProgressMapper,com.cloudera.sqoop.manager.DirectPostgresqlManager,com.cloudera.sqoop.lib.JdbcWritableBridge,com.cloudera.sqoop.util.NullAsyncSink,com.cloudera.sqoop.mapreduce.DataDrivenImportJob,com.cloudera.sqoop.mapreduce.SequenceFileExportMapper,com.cloudera.sqoop.manager.ExportJobContext,com.cloudera.sqoop.lib.LargeObjectLoader,com.cloudera.sqoop.mapreduce.ExportJobBase,com.cloudera.sqoop.mapreduce.SequenceFileImportMapper,com.cloudera.sqoop.io.LobFile$Writer]",11,11,0,0,113,11,23,=J33+K33+L33+M33+N33,=O33+P33,=((Q33/(R33+R32)))*100,,0,,"[]"
2011-07-22,33,8db82cd9d1f3d68d90eafd8bc63f8f55423afc72,42875119ddb859daf7a12bad7a0c0c31f4099eab,"[]","[]","[{name:com.cloudera.sqoop,added:[com.cloudera.sqoop.lib]},{name:com.cloudera.sqoop.orm,added:[com.cloudera.sqoop.lib]}]","[]","[com.cloudera.sqoop.util.TaskId]",0,0,2,0,1,11,25,=J34+K34+L34+M34+N34,=O34+P34,=((Q34/(R34+R33)))*100,,1,,"[]"
2011-07-22,34,74d034cf3607c2063bd3176e3a46802594038b40,8db82cd9d1f3d68d90eafd8bc63f8f55423afc72,"[]","[]","[]","[]","[]",0,0,0,0,0,11,25,=J35+K35+L35+M35+N35,=O35+P35,=((Q35/(R35+R34)))*100,,1,,"[]"
2011-07-22,35,568a827a1c65f633c1b8ad69f0cd1e32b98d55bb,74d034cf3607c2063bd3176e3a46802594038b40,"[]","[]","[{name:com.cloudera.sqoop.util,added:[com.cloudera.sqoop]},{name:com.cloudera.sqoop.tool,added:[com.cloudera.sqoop.util]}]","[]","[]",0,0,2,0,0,11,27,=J36+K36+L36+M36+N36,=O36+P36,=((Q36/(R36+R35)))*100,,2,,"[]"
2011-07-22,36,b027c56deb4aff3c53d8349d0c10d65a769f49e5,568a827a1c65f633c1b8ad69f0cd1e32b98d55bb,"[]","[]","[]","[]","[]",0,0,0,0,0,11,27,=J37+K37+L37+M37+N37,=O37+P37,=((Q37/(R37+R36)))*100,,3,,"[]"
2011-07-22,37,359d4244753f8c1d6c6907224875280cd670f9d6,b027c56deb4aff3c53d8349d0c10d65a769f49e5,"[]","[]","[]","[]","[]",0,0,0,0,0,11,27,=J38+K38+L38+M38+N38,=O38+P38,=((Q38/(R38+R37)))*100,,3,,"[]"
