date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2014-12-12,2631,c2fbfe4db73f19ecde2034abbd7c88654c2c24fe,91b40abe8444beca5524c0bfdd7ac9def493a475,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2632+K2632+L2632+M2632+N2632,=O2632+P2632,=((Q2632/(R2632+R2631)))*100,,0,PDFBOX-2524,"[]"
2014-12-12,2632,d319ee75784a8fcd8d490cc7496736f968b54f29,c2fbfe4db73f19ecde2034abbd7c88654c2c24fe,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2633+K2633+L2633+M2633+N2633,=O2633+P2633,=((Q2633/(R2633+R2632)))*100,,0,PDFBOX-922,"[]"
2014-12-12,2633,27b3081d330f3ebffb032d236cb93278394ea745,d319ee75784a8fcd8d490cc7496736f968b54f29,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2634+K2634+L2634+M2634+N2634,=O2634+P2634,=((Q2634/(R2634+R2633)))*100,,0,PDFBOX-2524,"[]"
2014-12-12,2634,38ae8799c240afdb82187caad00b7d5181f1dd59,27b3081d330f3ebffb032d236cb93278394ea745,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2635+K2635+L2635+M2635+N2635,=O2635+P2635,=((Q2635/(R2635+R2634)))*100,,0,PDFBOX-2552,"[]"
2014-12-12,2635,0934bffcbd56d8b9870e36c402db1abfed94410c,38ae8799c240afdb82187caad00b7d5181f1dd59,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2636+K2636+L2636+M2636+N2636,=O2636+P2636,=((Q2636/(R2636+R2635)))*100,,0,PDFBOX-2552,"[]"
2014-12-12,2636,960b4a5290b37fdb4a6bffc4f6a4c4ebe0d71a3c,0934bffcbd56d8b9870e36c402db1abfed94410c,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2637+K2637+L2637+M2637+N2637,=O2637+P2637,=((Q2637/(R2637+R2636)))*100,,0,PDFBOX-1372,"[]"
2014-12-13,2637,28101521f350578b4e03a06f5b29115b8d6bf2b2,960b4a5290b37fdb4a6bffc4f6a4c4ebe0d71a3c,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2638+K2638+L2638+M2638+N2638,=O2638+P2638,=((Q2638/(R2638+R2637)))*100,,0,PDFBOX-2524,"[]"
2014-12-13,2638,49091999ea9716893130a21b18635f45624da423,28101521f350578b4e03a06f5b29115b8d6bf2b2,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2639+K2639+L2639+M2639+N2639,=O2639+P2639,=((Q2639/(R2639+R2638)))*100,,0,PDFBOX-2524,"[]"
2014-12-13,2639,361514e154c335df032b919adea9a2b2a2995b47,49091999ea9716893130a21b18635f45624da423,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2640+K2640+L2640+M2640+N2640,=O2640+P2640,=((Q2640/(R2640+R2639)))*100,,0,PDFBOX-2430,"[]"
2014-12-13,2640,34d3cb0114e2060999c284fa138b5125423b0ee3,361514e154c335df032b919adea9a2b2a2995b47,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2641+K2641+L2641+M2641+N2641,=O2641+P2641,=((Q2641/(R2641+R2640)))*100,,0,PDFBOX-2430,"[]"
2014-12-14,2641,319cb8820a63ea1ce0918ed5c4877255688474b3,34d3cb0114e2060999c284fa138b5125423b0ee3,"[]","[]","[{name:org.apache.pdfbox.contentstream,added:[org.apache.pdfbox.pdmodel.graphics]},{name:org.apache.pdfbox.pdmodel.graphics.color,added:[org.apache.pdfbox.pdmodel]}]","[{name:org.apache.pdfbox.contentstream.operator.state,removed:[org.apache.pdfbox.pdmodel.graphics]}]","[]",0,0,2,1,0,83,432,=J2642+K2642+L2642+M2642+N2642,=O2642+P2642,=((Q2642/(R2642+R2641)))*100,,0,PDFBOX-2566,"[]"
2014-12-14,2642,833c39d8387633f3eae1cb6650c12b807e038c1d,319cb8820a63ea1ce0918ed5c4877255688474b3,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2643+K2643+L2643+M2643+N2643,=O2643+P2643,=((Q2643/(R2643+R2642)))*100,,0,PDFBOX-2524,"[]"
2014-12-14,2643,8767d6ef28e0daad1b7f2ae476208efca3ba02c6,833c39d8387633f3eae1cb6650c12b807e038c1d,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2644+K2644+L2644+M2644+N2644,=O2644+P2644,=((Q2644/(R2644+R2643)))*100,,0,PDFBOX-2524,"[]"
2014-12-14,2644,237777c55c18ea55d97051d6a28894ce1af72856,8767d6ef28e0daad1b7f2ae476208efca3ba02c6,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2645+K2645+L2645+M2645+N2645,=O2645+P2645,=((Q2645/(R2645+R2644)))*100,,0,,"[]"
2014-12-14,2645,b84ac9f3a4f6d0569ed782f947555ec0a08136fa,237777c55c18ea55d97051d6a28894ce1af72856,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2646+K2646+L2646+M2646+N2646,=O2646+P2646,=((Q2646/(R2646+R2645)))*100,,0,PDFBOX-2553,"[]"
2014-12-14,2646,190ebe655276f1b8fc4ecd62ff43d4bb0eeae2a7,b84ac9f3a4f6d0569ed782f947555ec0a08136fa,"[]","[]","[]","[]","[]",0,0,0,0,0,83,432,=J2647+K2647+L2647+M2647+N2647,=O2647+P2647,=((Q2647/(R2647+R2646)))*100,,0,PDFBOX-2553,"[]"
